DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|59|2
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|28|16
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|35|9
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|47|9
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|37|13
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|16|4
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|61|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|38|13
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|21|34
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|51|8
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|25|15
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|40|14
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|20|69
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|53|4
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|42|17
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|45|5
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|50|5
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|27|27
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|33|20
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|34|22
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|23|20
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|39|6
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|43|6
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|52|5
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|60|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|22|31
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|26|32
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|17|3
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|44|9
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|58|2
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|32|16
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|46|5
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|57|2
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|19|223
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|64|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|48|3
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|36|20
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|54|3
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|24|28
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|41|13
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|18|196
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|29|16
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|30|21
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|31|27
2022-04|02|WOJ. DOLNOŚLĄSKIE|K|49|4
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|25|5
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|64|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|18|281
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|36|13
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|16|10
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|29|19
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|47|5
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|61|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|58|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|59|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|19|234
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|54|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|41|6
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|27|17
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|15|4
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|26|16
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|33|15
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|53|3
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|44|9
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|35|12
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|17|15
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|22|24
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|34|8
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|48|4
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|52|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|21|52
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|24|25
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|42|5
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|23|17
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|38|10
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|31|7
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|57|3
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|37|9
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|39|16
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|40|3
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|43|4
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|30|17
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|32|14
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|28|9
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|50|3
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|45|4
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|68|2
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|46|1
2022-04|02|WOJ. DOLNOŚLĄSKIE|M|20|78
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|33|20
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|21|27
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|19|194
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|29|16
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|27|18
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|51|4
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|32|11
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|45|3
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|16|1
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|17|1
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|35|8
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|31|12
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|41|4
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|43|5
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|18|178
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|58|2
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|23|22
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|36|13
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|42|7
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|38|6
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|22|25
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|47|5
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|48|2
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|37|9
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|40|10
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|26|19
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|56|5
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|28|16
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|46|2
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|54|1
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|34|10
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|39|4
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|49|3
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|25|12
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|52|3
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|60|2
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|20|51
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|24|14
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|50|4
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|44|4
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|53|4
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|57|1
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|K|30|14
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|35|7
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|29|12
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|20|49
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|39|7
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|26|5
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|15|1
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|70|1
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|43|9
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|60|1
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|33|4
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|44|3
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|41|5
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|25|11
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|50|1
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|21|39
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|22|15
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|37|7
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|28|10
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|14|3
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|48|3
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|49|2
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|54|1
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|45|3
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|19|222
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|32|6
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|24|12
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|16|9
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|17|32
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|31|7
2022-04|04|WOJ. KUJAWSKO-POMORSKIE|M|34|7
