DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|36|14
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|52|2
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|51|3
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|48|2
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|29|18
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|31|17
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|54|2
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|59|1
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|19|124
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|41|7
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|45|4
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|38|12
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|53|4
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|39|9
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|42|8
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|49|6
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|44|7
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|18|310
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|27|37
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|32|18
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|40|12
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|25|19
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|47|5
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|50|3
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|46|5
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|15|2
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|28|28
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|21|32
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|35|14
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|62|2
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|20|40
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|16|2
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|33|14
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|17|2
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|30|18
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|22|28
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|34|10
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|23|20
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|63|1
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|57|1
2022-07|02|WOJ. DOLNOŚLĄSKIE|K|55|1
