DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|46|4
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|55|1
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|33|19
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|57|1
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|53|3
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|50|4
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|32|11
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|23|19
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|40|7
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|36|6
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|48|5
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|41|4
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|14|2
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|19|111
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|26|26
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|28|30
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|49|1
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|25|18
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|39|9
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|44|8
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|30|16
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|24|17
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|35|9
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|71|1
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|31|15
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|34|10
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|37|14
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|52|2
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|51|2
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|58|1
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|54|1
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|16|3
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|43|10
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|45|4
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|29|11
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|17|4
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|21|23
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|20|43
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|42|9
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|47|3
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|38|10
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|27|17
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|22|23
2022-08|02|WOJ. DOLNOŚLĄSKIE|K|18|379
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|39|5
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|30|12
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|28|13
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|20|43
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|41|5
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|53|1
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|24|12
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|18|375
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|27|17
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|16|17
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|23|14
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|55|2
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|32|7
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|25|24
2022-08|02|WOJ. DOLNOŚLĄSKIE|M|45|2
