DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|33|12
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|64|1
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|21|34
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|20|47
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|45|4
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|43|5
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|65|1
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|41|11
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|23|27
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|17|2
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|38|14
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|14|4
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|40|10
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|36|11
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|15|1
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|60|1
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|27|21
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|16|8
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|26|16
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|30|18
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|22|32
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|50|5
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|47|2
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|67|1
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|19|159
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|46|5
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|56|3
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|32|14
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|34|14
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|28|18
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|54|1
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|49|4
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|42|7
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|63|2
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|31|18
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|44|6
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|55|3
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|29|14
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|51|5
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|35|15
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|37|16
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|52|3
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|59|3
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|58|2
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|24|17
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|25|24
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|39|12
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|48|5
2022-10|02|WOJ. DOLNOŒL¥SKIE|K|18|500
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|18|519
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|39|7
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|16|23
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|22|19
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|25|18
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|15|9
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|45|3
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|31|9
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|43|6
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|17|11
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|48|2
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|21|28
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|50|4
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|37|5
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|47|5
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|40|4
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|57|1
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|32|9
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|42|3
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|24|14
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|23|19
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|26|19
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|44|4
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|14|13
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|30|15
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|29|10
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|27|7
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|35|13
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|19|115
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|20|48
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|46|5
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|33|9
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|36|13
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|28|10
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|38|7
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|34|4
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|49|1
2022-10|02|WOJ. DOLNOŒL¥SKIE|M|41|2
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|15|1
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|43|3
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|47|2
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|40|4
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|49|4
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|39|3
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|44|4
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|53|3
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|25|19
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|48|1
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|29|15
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|28|9
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|51|3
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|55|1
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|16|4
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|18|375
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|21|17
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|33|6
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|52|1
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|23|14
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|36|8
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|54|1
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|37|1
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|38|7
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|45|2
2022-10|04|WOJ. KUJAWSKO-POMORSKIE|K|19|88
