DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|32|12
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|34|9
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|21|23
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|18|499
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|36|16
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|28|13
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|69|1
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|43|7
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|51|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|40|6
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|54|1
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|63|1
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|27|19
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|35|12
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|23|23
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|38|8
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|42|5
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|55|6
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|50|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|64|1
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|60|1
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|26|23
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|52|3
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|49|5
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|57|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|14|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|25|25
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|48|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|45|4
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|44|5
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|20|43
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|41|4
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|33|9
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|53|1
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|22|21
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|37|9
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|39|13
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|29|9
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|56|3
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|31|22
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|24|23
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|46|7
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|47|11
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|65|1
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|16|4
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|30|19
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|17|3
2022-11|02|WOJ. DOLNOŚLĄSKIE|K|19|110
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|29|19
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|31|13
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|46|3
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|30|10
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|39|5
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|48|1
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|43|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|17|7
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|21|27
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|40|4
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|25|15
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|44|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|20|57
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|38|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|35|9
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|41|5
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|18|518
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|15|3
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|32|13
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|45|4
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|50|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|36|8
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|59|2
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|49|1
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|42|6
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|28|23
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|22|23
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|34|6
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|14|7
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|26|9
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|37|5
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|23|20
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|27|11
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|33|11
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|16|12
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|47|5
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|24|14
2022-11|02|WOJ. DOLNOŚLĄSKIE|M|19|103
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|39|4
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|47|1
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|22|13
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|40|10
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|38|4
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|23|18
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|32|8
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|37|3
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|55|2
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|57|2
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|48|2
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|56|1
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|58|1
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|20|26
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|19|90
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|45|4
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|24|9
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|52|4
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|36|12
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|26|8
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|17|1
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|42|2
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|34|9
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|65|2
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|16|2
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|54|1
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|21|21
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|50|3
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|27|13
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|43|9
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|28|8
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|14|1
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|18|408
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|49|2
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|30|9
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|29|12
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|25|15
2022-11|04|WOJ. KUJAWSKO-POMORSKIE|K|35|9
