DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|18|472
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|33|16
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|40|9
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|36|13
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|44|5
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|67|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|23|25
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|43|6
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|39|14
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|42|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|29|20
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|27|22
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|22|29
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|47|3
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|38|11
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|48|7
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|31|13
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|52|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|51|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|24|23
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|61|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|54|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|21|31
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|16|2
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|20|36
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|60|2
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|57|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|34|13
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|55|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|62|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|19|113
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|25|24
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|41|9
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|32|16
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|46|2
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|45|4
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|28|19
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|35|8
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|30|18
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|49|4
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|37|5
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|58|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|K|26|22
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|29|6
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|26|9
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|27|11
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|24|15
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|59|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|69|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|19|92
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|30|6
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|28|10
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|31|5
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|14|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|25|16
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|48|3
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|32|7
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|54|2
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|16|5
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|40|4
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|23|6
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|49|1
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|22|10
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|38|3
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|44|3
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|39|6
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|37|10
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|20|40
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|21|23
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|42|7
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|43|2
2022-12|02|WOJ. DOLNOŚLĄSKIE|M|41|2
