DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|21|45
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|63|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|49|5
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|41|4
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|56|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|64|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|39|14
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|44|9
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|27|16
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|54|3
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|38|6
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|29|22
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|36|12
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|51|5
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|70|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|57|2
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|22|24
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|19|503
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|18|41
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|62|3
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|48|7
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|55|3
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|17|2
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|28|14
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|20|74
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|34|22
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|37|7
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|45|3
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|43|6
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|23|34
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|24|27
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|53|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|32|24
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|25|25
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|52|2
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|59|3
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|60|3
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|42|8
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|31|15
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|26|18
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|33|20
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|35|5
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|50|7
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|30|18
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|47|8
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|46|5
2023-01|02|WOJ. DOLNOŚLĄSKIE|K|40|10
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|27|14
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|39|5
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|56|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|25|15
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|34|13
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|49|3
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|41|4
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|36|7
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|30|6
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|47|4
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|45|3
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|23|20
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|51|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|46|3
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|28|20
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|24|15
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|44|4
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|19|541
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|33|8
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|43|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|18|65
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|21|40
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|26|16
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|20|99
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|48|4
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|40|7
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|29|12
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|38|7
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|32|14
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|37|9
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|17|7
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|22|35
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|35|11
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|50|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|42|7
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|53|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|66|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|54|1
2023-01|02|WOJ. DOLNOŚLĄSKIE|M|31|15
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|24|15
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|43|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|32|6
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|51|1
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|22|19
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|26|12
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|25|10
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|62|1
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|50|2
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|17|2
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|41|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|45|6
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|34|11
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|38|6
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|37|4
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|61|1
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|68|1
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|55|3
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|54|2
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|20|73
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|47|3
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|19|436
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|46|4
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|31|14
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|28|20
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|21|28
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|27|18
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|23|17
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|44|4
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|33|6
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|40|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|42|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|30|10
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|58|3
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|39|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|56|1
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|36|6
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|48|2
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|59|2
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|29|13
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|18|24
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|K|35|13
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|47|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|34|10
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|44|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|28|7
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|42|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|38|6
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|16|1
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|29|9
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|39|4
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|57|1
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|41|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|25|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|22|19
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|20|46
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|19|490
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|45|3
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|36|4
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|26|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|54|1
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|50|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|24|10
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|18|49
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|33|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|43|3
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|35|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|49|1
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|46|2
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|21|22
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|17|13
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|27|5
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|30|6
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|40|4
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|52|2
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|37|2
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|32|3
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|23|16
2023-01|04|WOJ. KUJAWSKO-POMORSKIE|M|31|8
2023-01|06|WOJ. LUBELSKIE|K|38|6
2023-01|06|WOJ. LUBELSKIE|K|18|95
2023-01|06|WOJ. LUBELSKIE|K|54|2
2023-01|06|WOJ. LUBELSKIE|K|19|377
2023-01|06|WOJ. LUBELSKIE|K|44|6
2023-01|06|WOJ. LUBELSKIE|K|22|21
2023-01|06|WOJ. LUBELSKIE|K|26|18
2023-01|06|WOJ. LUBELSKIE|K|40|3
2023-01|06|WOJ. LUBELSKIE|K|57|3
2023-01|06|WOJ. LUBELSKIE|K|64|1
2023-01|06|WOJ. LUBELSKIE|K|32|9
2023-01|06|WOJ. LUBELSKIE|K|48|2
2023-01|06|WOJ. LUBELSKIE|K|21|20
2023-01|06|WOJ. LUBELSKIE|K|66|1
2023-01|06|WOJ. LUBELSKIE|K|37|5
2023-01|06|WOJ. LUBELSKIE|K|42|5
2023-01|06|WOJ. LUBELSKIE|K|20|44
2023-01|06|WOJ. LUBELSKIE|K|39|7
2023-01|06|WOJ. LUBELSKIE|K|55|2
2023-01|06|WOJ. LUBELSKIE|K|45|5
2023-01|06|WOJ. LUBELSKIE|K|28|9
2023-01|06|WOJ. LUBELSKIE|K|46|2
2023-01|06|WOJ. LUBELSKIE|K|30|8
2023-01|06|WOJ. LUBELSKIE|K|27|18
2023-01|06|WOJ. LUBELSKIE|K|23|16
2023-01|06|WOJ. LUBELSKIE|K|47|5
2023-01|06|WOJ. LUBELSKIE|K|24|10
2023-01|06|WOJ. LUBELSKIE|K|41|6
2023-01|06|WOJ. LUBELSKIE|K|49|2
2023-01|06|WOJ. LUBELSKIE|K|33|6
2023-01|06|WOJ. LUBELSKIE|K|62|1
2023-01|06|WOJ. LUBELSKIE|K|50|3
2023-01|06|WOJ. LUBELSKIE|K|31|9
2023-01|06|WOJ. LUBELSKIE|K|35|10
2023-01|06|WOJ. LUBELSKIE|K|29|12
2023-01|06|WOJ. LUBELSKIE|K|25|17
2023-01|06|WOJ. LUBELSKIE|K|34|7
2023-01|06|WOJ. LUBELSKIE|K|43|4
2023-01|06|WOJ. LUBELSKIE|K|52|3
2023-01|06|WOJ. LUBELSKIE|K|36|6
2023-01|06|WOJ. LUBELSKIE|M|31|6
2023-01|06|WOJ. LUBELSKIE|M|39|1
2023-01|06|WOJ. LUBELSKIE|M|41|5
2023-01|06|WOJ. LUBELSKIE|M|16|1
2023-01|06|WOJ. LUBELSKIE|M|37|3
2023-01|06|WOJ. LUBELSKIE|M|18|101
2023-01|06|WOJ. LUBELSKIE|M|25|10
2023-01|06|WOJ. LUBELSKIE|M|23|19
2023-01|06|WOJ. LUBELSKIE|M|34|6
2023-01|06|WOJ. LUBELSKIE|M|29|7
2023-01|06|WOJ. LUBELSKIE|M|75|1
2023-01|06|WOJ. LUBELSKIE|M|43|3
2023-01|06|WOJ. LUBELSKIE|M|44|3
2023-01|06|WOJ. LUBELSKIE|M|33|2
2023-01|06|WOJ. LUBELSKIE|M|45|2
2023-01|06|WOJ. LUBELSKIE|M|26|6
2023-01|06|WOJ. LUBELSKIE|M|50|1
2023-01|06|WOJ. LUBELSKIE|M|21|31
2023-01|06|WOJ. LUBELSKIE|M|28|8
2023-01|06|WOJ. LUBELSKIE|M|19|420
2023-01|06|WOJ. LUBELSKIE|M|17|12
2023-01|06|WOJ. LUBELSKIE|M|24|7
2023-01|06|WOJ. LUBELSKIE|M|36|3
2023-01|06|WOJ. LUBELSKIE|M|38|4
2023-01|06|WOJ. LUBELSKIE|M|42|5
2023-01|06|WOJ. LUBELSKIE|M|48|1
2023-01|06|WOJ. LUBELSKIE|M|46|2
2023-01|06|WOJ. LUBELSKIE|M|20|47
2023-01|06|WOJ. LUBELSKIE|M|49|1
