DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|48|5
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|23|17
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|36|16
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|19|319
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|33|18
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|24|25
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|53|3
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|39|8
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|27|20
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|70|1
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|46|5
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|18|110
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|35|8
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|37|10
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|42|8
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|30|14
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|47|4
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|54|1
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|52|2
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|20|71
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|38|12
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|55|2
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|51|1
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|41|6
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|26|20
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|43|8
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|50|1
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|28|16
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|31|16
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|21|28
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|49|5
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|40|11
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|34|14
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|25|21
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|32|15
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|63|1
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|45|3
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|22|19
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|61|1
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|44|8
2023-02|02|WOJ. DOLNOŚLĄSKIE|K|29|22
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|23|17
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|25|13
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|20|57
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|21|29
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|34|5
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|48|3
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|31|11
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|33|12
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|35|10
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|50|2
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|26|18
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|36|10
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|17|5
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|47|3
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|16|2
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|19|388
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|28|15
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|41|6
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|39|11
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|44|5
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|43|4
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|45|3
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|42|2
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|49|3
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|67|1
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|40|4
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|30|9
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|29|10
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|59|1
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|51|2
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|46|2
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|22|30
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|24|23
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|37|6
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|38|12
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|18|118
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|27|6
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|32|9
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|55|2
2023-02|02|WOJ. DOLNOŚLĄSKIE|M|52|1
2023-02|04|WOJ. KUJAWSKO-POMORSKIE|K|33|13
2023-02|04|WOJ. KUJAWSKO-POMORSKIE|K|32|8
2023-02|04|WOJ. KUJAWSKO-POMORSKIE|K|24|5
2023-02|04|WOJ. KUJAWSKO-POMORSKIE|K|40|7
2023-02|04|WOJ. KUJAWSKO-POMORSKIE|K|41|2
2023-02|04|WOJ. KUJAWSKO-POMORSKIE|K|49|1
2023-02|04|WOJ. KUJAWSKO-POMORSKIE|K|48|2
2023-02|04|WOJ. KUJAWSKO-POMORSKIE|K|27|14
