DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|23|12
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|21|21
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|40|10
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|50|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|46|2
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|16|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|26|17
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|22|18
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|44|5
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|39|3
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|32|7
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|43|4
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|47|2
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|42|3
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|35|12
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|28|11
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|27|12
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|55|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|60|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|34|9
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|24|15
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|38|10
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|25|12
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|48|3
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|33|6
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|54|2
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|49|4
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|31|6
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|30|7
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|37|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|45|3
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|51|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|17|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|19|101
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|57|2
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|29|8
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|18|339
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|20|38
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|41|8
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|14|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|36|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|K|15|2
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|33|4
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|16|11
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|23|10
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|45|2
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|41|5
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|29|7
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|31|5
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|36|2
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|18|354
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|38|8
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|27|6
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|35|3
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|55|1
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|28|11
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|42|3
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|39|7
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|19|104
2023-09|02|WOJ. DOLNOŚLĄSKIE|M|22|14
