DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|39|6
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|33|13
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|49|3
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|37|23
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|57|1
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|21|30
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|32|15
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|46|8
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|48|4
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|45|3
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|53|1
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|68|1
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|15|1
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|62|1
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|35|12
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|17|5
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|47|2
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|19|143
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|26|20
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|20|35
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|41|7
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|29|17
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|31|20
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|50|1
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|54|3
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|25|27
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|24|21
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|34|9
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|38|9
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|42|4
2023-06|02|WOJ. DOLNOŒL¥SKIE|K|18|274
